commit	tok_sec	ttft_ms	proj_avg_ms	status	description
b624162	4.08	19373.7	241.3	keep	baseline: pread path, K=10, 100 tokens, correct output
n/a	4.01	-	243.5	discard	static GCD pread queue + USER_INTERACTIVE QOS (no improvement)
n/a	1.81	-	-	discard	F_RDADVISE speculative next-layer prefetch (massive regression, I/O contention)
n/a	3.80	-	-	discard	matvec_4bit_2row for pread expert+shared down projections (within noise, GPU not bottleneck)
n/a	3.61	21514.7	271.0	discard	hybrid mlock/pread: mlock 19 layers (69GB), pread 41 — page cache regression
n/a	3.63	-	264	discard	per-layer fused experts for resident layers in hybrid mode (neutral, resident layers not bottleneck)
2c05cc3	4.07	-	252.7	keep	fix: pure pread for 397B (restore baseline from partial mlock regression)
n/a	3.97	-	-	discard	static GCD pread queue (reuse instead of per-call create, within noise)
n/a	2.91	-	-	discard	speculative expert prefetch (prev-token indices, massive regression from I/O contention)
n/a	4.06	-	-	discard	sorted expert indices by ID before pread (within noise, GCD concurrent anyway)
n/a	3.99	-	-	discard	pipelined pread+GPU: split K=10 into two groups, overlap group B pread with group A GPU (slight regression, 2-cmd-buffer overhead)
n/a	-	-	-	discard	dynamic expert pruning (min weight threshold): weights too evenly distributed (min ~3-5%), no experts pruned
n/a	0.95	72286.1	-	discard	mmap without mlock + MADV_RANDOM for non-resident layers (massive regression, page fault overhead)
n/a	2.92	1639.8	-	discard	fcntl(F_RDAHEAD,0) disable read-ahead on expert layer files (regression, read-ahead helps page cache)
n/a	3.79	6119.6	-	keep	instrumentation baseline: io=165ms compute=55ms bw=25GB/s cache=87.9GB 99% preads 1-5ms
n/a	0.95	16922.6	-	discard	mmap with default hints (no MADV_RANDOM): memcpy from mmap instead of pread — catastrophic page fault overhead
9ef880c	6.63	3198.9	-	keep	2-bit expert quantization K=10: 44.4% I/O reduction (3.93 MB/expert vs 6.75 MB), coherent output
9ef880c	7.74	2755.9	-	keep	2-bit K=8: 20% fewer expert reads, quality remains coherent (but deviates from K=10 architecture)
02285aa	6.49	3251.8	-	keep	dispatch_apply for pread (cleanup): within noise of dispatch_group baseline
0332822	5.40	4261.2	-	keep	re-implemented I/O instrumentation: 2-bit io=92-101ms/tok bw=25GB/s 78% preads 200us-1ms
dcfcf12	6.38	12522.3	-	keep	conditional instrumentation (zero-cost when not profiling): within noise
n/a	0.80	-	-	discard	parallel pread+CPU expert forward (eliminate GPU cmd buffer): CPU matvec 20x slower than GPU
n/a	6.19	12376.8	-	discard	dynamic expert pruning 5% threshold: weights too even, ~1 layer pruned per token, within noise
n/a	6.36	-	-	discard	fused batch 2-bit kernels + contiguous pread buffer: within noise of per-expert path
1cae4eb	6.81	-	-	keep	concurrent GPU dispatch (MTLDispatchTypeConcurrent) for expert forward: +7% from better GPU utilization
a951111	7.66	10200.9	-	keep	expert buffer caching: skip pread for cached experts (10.7% improvement)
df14ed4	7.36	-	-	keep	expand cache to 2×K slots with proper full-width search
n/a	7.67	10150.4	-	discard	4×K cache slots (40): no benefit over 3×K, diminishing returns
914706b	7.69	10143.9	-	keep	3×K cache slots (30): io=57ms/tok, 33% cache hit rate, +4% over 2×K
n/a	6.99	-	-	discard	per-layer buffer isolation (600 slots, 4.2 GB): correct caching but page cache regression from memory pressure
n/a	7.36	10077.8	-	discard	two-phase pipelined pread (gate+up first, down during GPU): 2-cmd-buffer overhead negates I/O overlap
n/a	6.69	11542.0	-	keep	fix: disable broken cross-token expert cache (shared GPU buffers served stale data)
n/a	5.37	-	-	discard	CPU-side per-layer expert cache (4.25 GB, 4-bit sized): page cache regression from memory pressure
n/a	5.49	-	-	discard	CPU-side per-layer expert cache (2.36 GB, 2-bit sized): still page cache regression
n/a	6.61	11539.0	-	discard	GPU combine for pread path: eliminate K+1 readbacks, combine on GPU — within noise
n/a	5.88	13286.0	-	discard	speculative expert prefetch during GPU attention: overlap pread with GPU but 50% more total I/O, bandwidth dropped from 31 to 22 GB/s
08e3733	7.32	10727.8	-	keep	per-layer expert cache buffers (2.25 GB): correct cross-token caching, 33% hit rate, +9.4% over disabled cache
n/a	6.89	10557.1	-	discard	K+4 cache slots (14, 3.15 GB) + F_RDADVISE advise + smarter eviction: page cache regression from +900 MB
1942f27	7.87	10070.0	-	keep	K+2 cache slots (12, 2700 MB) + smarter eviction: +7.5% over K=10, sweet spot for page cache pressure
n/a	6.89	11584.7	-	discard	F_RDADVISE pre-warming before attention: I/O contention, regression from read-ahead interference
n/a	7.85	10213.7	-	discard	K+3 cache slots (13, 2925 MB): within noise of K+2, diminishing returns above +2 extra slots
n/a	7.96	9936.8	-	discard	2-bit batched expert kernels (4 dispatches vs 31): within noise, GPU dispatch overhead not bottleneck
n/a	7.64	10078.2	-	discard	GPU combine for pread path (correct impl): extra barrier+kernel negated readback savings, within noise
n/a	7.89	10067.1	-	discard	-O3 compiler optimization: within noise of -O2, CPU code paths not bottleneck
n/a	6.98	-	-	discard	pipelined pread+GPU via MTLSharedEvent: 2-encoder+event overhead (>0.5ms/layer) negated overlap savings
n/a	-	-	-	crash	fused 2-bit gate+up+swiglu kernel for pread: all-NaN output at layer 0, correctness bug in kernel (GPU dispatch overhead already proven within noise)
n/a	7.94	9982.4	-	discard	GPU norm+LM head+argmax for pread path (skip 993KB readback): within noise, 0.5ms savings too small vs 127ms/tok
n/a	6.83	3027.4	-	discard	tiered quant (hot=4-bit, cold=2-bit, 1116 hot experts): cache slots grew to 6.75 MB → 4860 MB total, page cache regression
