commit	tok_sec	ttft_ms	proj_avg_ms	status	description
0c6c89b	9.55	1786.0	0.0	baseline	HEAD baseline (pre-optimization)
f4f5815	9.72	1772.3	0.0	keep	fuse dense gate+up+SwiGLU into single dispatch
f4f5815	9.70	1749.0	0.0	baseline	session baseline re-measurement
f4f5815	8.35	1790.0	0.0	discard	2-row fused gate+up+swiglu Q4K (register pressure regression)
f4f5815	9.73	1762.0	0.0	keep	skip copy+norm for dense layers (reuse residual_add_sq partial sums)
5fe220f	9.65	1779.0	0.0	discard	MATVEC_X_SHARED_SIZE 8192→4096 (tiling overhead > occupancy gain)
5fe220f	9.68	1771.0	0.0	discard	vectorize Q4K inner loop with uint32+half4 loads (compiler already optimizes)
5fe220f	9.73	1762.0	0.0	baseline	session baseline re-measurement
5fe220f	9.73	1742.0	0.0	discard	dynamic threadgroup memory for fused gate_up_swiglu (occupancy limited by registers, not TG memory)
5fe220f	9.72	1747.0	0.0	discard	fuse dense down+residual_add_sq (barrier overhead is not the bottleneck)
8c47bc7	11.79	1840.0	0.0	baseline	session baseline (post-hybrid engine + llama Q5K/Q6K kernels)
979f235	13.06	1852.0	0.0	keep	enable llama Q4K kernel for lm_head + attn O-proj (fix mask bug + enable OTHER|FULL_O|LINEAR_O)
83ad18a	17.27	1793.0	0.0	keep	llama-style fused gate+up+swiglu Q4K kernel (register-only, no shared memory)
9a136c0	17.80	1820.0	0.0	keep	enable FULL_Q for llama Q4K dispatch (gated Q projection, 16 full-attn layers)
9a136c0	17.45	1898.0	0.0	baseline	session baseline re-measurement (quality 2/3)
9a136c0	18.61	1870.0	0.0	discard	enable LINEAR_Z for llama Q4K (catastrophic punctuation collapse, 0/3 quality)
9a136c0	17.56	1908.0	0.0	discard	numerically stable softplus in decay_beta (no quality improvement, 2/3)
